name, currStatus, capital, 证券机构, 会计事务所, 律师事务所, 资产评估机构
深圳市道通科技股份有限公司, 5, 6.5001, 北京市中伦律师事务所, 天健会计师事务所（特殊普通合伙）, 中信证券股份有限公司, 中联资产评估集团有限公司
广州瑞松智能科技股份有限公司, 5, 3.7504, 北京市中伦律师事务所, 国众联资产评估土地房地产估价有限公司, 立信会计师事务所（特殊普通合伙）, 广发证券股份有限公司
北京映翰通网络技术股份有限公司, 5, 2.6259, 信永中和会计师事务所（特殊普通合伙）, 中资资产评估有限公司, 光大证券股份有限公司, 北京隆安律师事务所
福建赛特新材股份有限公司, 5, 4.0339, 北京市中瑞律师事务所, 兴业证券股份有限公司, 福建联合中和资产评估土地房地产估价有限公司, 容诚会计师事务所（特殊普通合伙）
张家港广大特材股份有限公司, 5, 6.9, 安徽天禾律师事务所, 坤元资产评估有限公司, 中信建投证券股份有限公司, 天健会计师事务所（特殊普通合伙）
深圳市有方科技股份有限公司, 5, 5.5649, 北京德恒律师事务所, 国众联资产评估土地房地产估价有限公司, 立信会计师事务所（特殊普通合伙）, 华创证券有限责任公司
苏州泽璟生物制药股份有限公司, 5, 23.8388, 中和资产评估有限公司, 中国国际金融股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 北京市君合律师事务所
浙江东方基因生物制品股份有限公司, 5, 5.6164, 天津中联资产评估有限责任公司, 光大证券股份有限公司, 国浩律师（杭州）事务所, 立信会计师事务所（特殊普通合伙）
优刻得科技股份有限公司, 5, 47.4792, 上海申威资产评估有限公司, 立信会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 中国国际金融股份有限公司
广州洁特生物过滤股份有限公司, 5, 3.1, 广东中广信资产评估有限公司, 民生证券股份有限公司, 广东广信君达律师事务所, 天健会计师事务所（特殊普通合伙）
威胜信息技术股份有限公司, 5, 6.0506, 天健会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 开元资产评估有限公司, 中国国际金融股份有限公司
无锡德林海环保科技股份有限公司, 4, 4.5017, 北京市天元律师事务所, 申港证券股份有限公司, 中威正信（北京）资产评估有限公司, 信永中和会计师事务所（特殊普通合伙）
厦门特宝生物工程股份有限公司, 5, 6.0766, 致同会计师事务所（特殊普通合伙）, 国金证券股份有限公司, 国浩律师（深圳）事务所
南京万德斯环保科技股份有限公司, 5, 5.3618, 中天运会计师事务所（特殊普通合伙）, 沃克森（北京）国际资产评估有限公司, 广发证券股份有限公司, 江苏世纪同仁律师事务所
绍兴兴欣新材料股份有限公司, 8, 5, 北京市炜衡律师事务所, 天津中联资产评估有限责任公司, 光大证券股份有限公司, 立信会计师事务所（特殊普通合伙）
北京八亿时空液晶科技股份有限公司, 5, 3.0975, 北京市君合律师事务所, 首创证券有限责任公司, 致同会计师事务所（特殊普通合伙）
武汉兴图新科电子股份有限公司首次公开发行股票并在科创板上市项目, 5, 4.0585, 天健会计师事务所（特殊普通合伙）, 北京观韬中茂律师事务所, 湖北众联资产评估有限公司, 中泰证券股份有限公司
上海拓璞数控科技股份有限公司, 8, 4.99, 招商证券股份有限公司, 北京中同华资产评估有限公司, 北京市竞天公诚律师事务所, 立信会计师事务所（特殊普通合伙）
